time,x,y,button,pressed,abnormal
1734362863.9402187,242,535,Button.left,True,False
1734362864.052477,244,531,Button.left,False,False
1734362864.1802468,268,523,Button.left,True,False
1734362864.2923796,305,549,Button.left,False,False
1734362864.4116054,311,572,Button.left,True,False
1734362864.532431,302,587,Button.left,False,False
1734362864.6445656,273,595,Button.left,True,False
1734362864.7409334,269,596,Button.left,False,False
1734362864.8604424,264,582,Button.left,True,False
1734362864.9481983,264,582,Button.left,False,False
1734362865.0679364,268,569,Button.left,True,False
1734362865.1565385,278,569,Button.left,False,False
1734362865.2678018,289,566,Button.left,True,False
1734362865.3805296,292,566,Button.left,False,False
1734362865.5076854,299,577,Button.left,True,False
1734362865.6201904,299,581,Button.left,False,False
1734362865.720465,282,584,Button.left,True,False
1734362865.836314,279,588,Button.left,False,False
1734362865.946325,278,588,Button.left,True,False
1734362866.0435543,278,588,Button.left,False,False
1734362866.1643083,278,588,Button.left,True,False
1734362866.2522035,278,588,Button.left,False,False
1734362866.3634698,278,588,Button.left,True,False
1734362866.453187,278,588,Button.left,False,False
1734362866.5484982,278,588,Button.left,True,False
1734362866.630345,278,588,Button.left,False,False
1734362866.8505003,278,588,Button.left,True,False
1734362866.9448006,278,588,Button.left,False,False
1734362867.0442843,278,588,Button.left,True,False
1734362867.130547,278,588,Button.left,False,False
1734362867.9204886,1791,440,Button.left,True,False
1734362867.9716346,1791,440,Button.left,False,False
1734362868.2751656,1740,521,Button.left,True,False
1734362868.3488002,1739,522,Button.left,False,False
1734362868.7808976,1739,458,Button.left,True,False
1734362868.8365397,1739,458,Button.left,False,False
1734362869.5805402,1754,454,Button.left,True,False
1734362869.6521912,1754,454,Button.left,False,False
1734362870.820573,305,476,Button.left,True,False
1734362870.8925836,305,482,Button.left,False,False
1734362871.0924118,333,591,Button.left,True,False
1734362871.1806135,309,604,Button.left,False,False
1734362871.316548,203,607,Button.left,True,False
1734362871.3908224,201,604,Button.left,False,False
1734362871.580223,178,517,Button.left,True,False
1734362871.668105,191,504,Button.left,False,False
1734362871.8202295,286,470,Button.left,True,False
1734362871.9004102,292,470,Button.left,False,False
1734362872.0364275,346,530,Button.left,True,False
1734362872.12421,346,540,Button.left,False,False
1734362872.2841628,320,607,Button.left,True,False
1734362872.36049,319,608,Button.left,False,False
1734362872.508358,264,594,Button.left,True,False
1734362872.580392,262,591,Button.left,False,False
1734362872.7407708,248,508,Button.left,True,False
1734362872.8204288,248,506,Button.left,False,False
1734362873.740644,1766,965,Button.left,True,False
1734362873.8198986,1766,965,Button.left,False,False
1734362874.8124685,1786,1,Button.left,True,False
1734362874.868419,1786,1,Button.left,False,False
1734362875.3706415,1592,68,Button.left,True,False
1734362875.4605143,1152,348,Button.left,False,False
1734362875.6445477,996,544,Button.left,True,False
1734362875.7714987,1399,268,Button.left,False,False
1734362876.8362179,1130,1030,Button.left,True,False
1734362876.916416,1130,1030,Button.left,False,False
1734362877.6848857,775,0,Button.left,True,False
1734362877.7238238,775,0,Button.left,False,False
1734362878.3867266,198,0,Button.left,True,False
1734362878.46789,198,0,Button.left,False,False
1734362881.684459,698,0,Button.left,True,False
1734362881.7701666,698,0,Button.left,False,False
1734362883.6588433,1919,795,Button.left,True,False
1734362884.2334177,1919,221,Button.left,False,False
1734362886.7408457,1913,218,Button.left,True,False
1734362887.0284135,1894,657,Button.left,False,False
1734362887.5877209,1919,625,Button.left,True,False
1734362887.7402542,1916,700,Button.left,False,False
1734362890.8026233,1176,854,Button.left,True,False
1734362890.93258,1176,854,Button.left,False,False
1734362892.7314074,886,433,Button.left,True,False
1734362893.100224,713,394,Button.left,False,False
1734362893.7176154,695,433,Button.left,True,False
1734362893.7966106,695,433,Button.left,False,False
1734362897.9688752,1870,126,Button.left,True,False
1734362898.092243,1870,126,Button.left,False,False
1734362898.6125333,1567,0,Button.left,True,False
1734362898.6640997,1567,0,Button.left,False,False
1734362899.0522764,1797,9,Button.left,True,False
1734362899.1318336,1797,11,Button.left,False,False
1734362900.1246116,1113,187,Button.right,True,False
1734362900.2273135,1111,188,Button.right,False,False
